产品编码,适合度分,有效样本期数,R2,拟合等级,BOM材料kg标准差,产品价kg标准差,截距,斜率,在BOM,在价格表,价格表有重量期数,BOM单位,待补足,推荐采用回归
1020110079,57.9,17,0.0,弱,0.0,0.00045565,,,True,True,17,ST,BOM材料/kg各期相同(单位或BOM未按月变)；BOM单位为ST需换算kg,False
1020048593,0.0,0,,未启用,0.0,0.0,,,False,True,6,,缺BOM；有效配对仅0期,False
1020048594,0.0,0,,未启用,0.0,0.0,,,False,True,6,,缺BOM；有效配对仅0期,False
1020048702,0.0,0,,未启用,0.0,0.0,,,False,True,2,,缺BOM；价格表仅2期；有效配对仅0期,False
1020110077,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1020361080,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010001,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010003,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010004,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010005,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010008,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010009,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010010,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010012,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010013,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010016,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010018,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010021,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010022,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010023,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010024,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010025,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010026,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010028,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010029,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010030,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010031,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010035,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010036,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010038,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010039,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010040,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010041,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010044,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010045,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010046,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010048,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010050,0.0,0,,未启用,0.0,0.0,,,False,True,9,,缺BOM；有效配对仅0期,False
1030010052,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010053,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010057,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010059,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010060,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010061,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010062,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010063,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010065,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010067,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010068,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010069,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010070,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010071,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010073,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010074,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010077,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010078,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010081,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010082,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010084,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010085,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010086,0.0,0,,未启用,0.0,0.0,,,False,True,17,,缺BOM；有效配对仅0期,False
1030010087,0.0,0,,未启用,0.0,0.0,,,False,True,6,,缺BOM；有效配对仅0期,False
1030011633,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
1030011634,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
1030011635,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8010023318,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8010023321,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8010023322,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8010023323,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8010023324,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8010023325,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8020021693,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8020120082,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8020120091,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8020120643,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8020120644,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8020120645,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8120010005,0.0,0,,未启用,0.0,0.0,,,True,False,0,"KG,ST",缺价格清单；价格表仅0期；有效配对仅0期,False
8120010006,0.0,0,,未启用,0.0,0.0,,,True,False,0,"KG,ST",缺价格清单；价格表仅0期；有效配对仅0期,False
8120010020,0.0,0,,未启用,0.0,0.0,,,True,False,0,"KG,ST",缺价格清单；价格表仅0期；有效配对仅0期,False
8120010021,0.0,0,,未启用,0.0,0.0,,,True,False,0,"KG,ST",缺价格清单；价格表仅0期；有效配对仅0期,False
8120010022,0.0,0,,未启用,0.0,0.0,,,True,False,0,"KG,ST",缺价格清单；价格表仅0期；有效配对仅0期,False
8120010024,0.0,0,,未启用,0.0,0.0,,,True,False,0,"KG,ST",缺价格清单；价格表仅0期；有效配对仅0期,False
8120010025,0.0,0,,未启用,0.0,0.0,,,True,False,0,KG,缺价格清单；价格表仅0期；有效配对仅0期,False
8120010026,0.0,0,,未启用,0.0,0.0,,,True,False,0,"KG,ST",缺价格清单；价格表仅0期；有效配对仅0期,False
8120010027,0.0,0,,未启用,0.0,0.0,,,True,False,0,"KG,ST",缺价格清单；价格表仅0期；有效配对仅0期,False
8120010028,0.0,0,,未启用,0.0,0.0,,,True,False,0,"KG,ST",缺价格清单；价格表仅0期；有效配对仅0期,False
8120010029,0.0,0,,未启用,0.0,0.0,,,True,False,0,"KG,ST",缺价格清单；价格表仅0期；有效配对仅0期,False
